EP01 IN
EP01：雨すごいね　|　好大的雨呢
EP05：別に　どうでもよくない　|　这有什么所谓吗
EP05：どうしてあんなウソついたんですか　|　为什么撒这种谎啊
EP05：あなたが　この子を見てアライグマだと思ったなら　|　如果你看到这孩子 觉得它是浣熊的话
EP05：あなたにとって　それはもうアライグマ　|　那对你来说就是浣熊
EP05：やっべえぞ　|　有点厉害
EP05：ボールなんてあったかしら　|　家里有这种球吗
EP05：しかも　あんなに　|　而且还这么多
EP05：あなた　|　我说你
EP05：いつの間にこんなにためてたの　|　什么时候攒了这么多
EP05：休憩中だから　|　现在是休息时间
EP05：もう　ほらこっちおいで　|　真是的 过来这边
EP05：すごいな　換毛期なんだよね　|　真夸张啊 这就是换毛期吧
EP05：ってことは　出会った時は夏仕様だったのね　|　也就是说 刚遇见那会是夏装对吧
EP05：よし　終わり　|　好 搞定了
EP05：掃除機もかけなくちゃ　|　还得用吸尘器吸一遍
EP05：そうやって作ってたのね　|　是这么做出来的啊
EP05：そっか　お月見　|　对了 赏月
EP05：お月見団子作ろうかな　|　要做赏月团子吗
EP05：ススキはないんだけどね　|　虽然没有芒草
EP05：それもいいかもね　|　这些应该也不错
EP05：このお皿がいいかな　|　这个盘子应该可以
EP05：もうちょっとだからね　|　再等一会就好了
EP05：これをベランダに運びます　|　把这个拿到阳台去
EP05：晴れてて　よかった　|　晴朗的夜空真是太好了
EP05：どうぞ　|　给
EP05：こんな大きな月久しぶり　|　好久没见过那么大的月亮了
EP05：本当にきれい　|　好美啊
EP05：ラテンだね　|　拉丁风格啊
EP05：もうやめなさい　|　快停下
EP05：すいません　|　不好意思
EP05：いえいえ　|　没事没事
EP05：うるさいでしょ　|　你吵到人家了
EP05：うん　似てる似てる　|　嗯 很像很像
EP05：すごいすごい　|　好棒好棒
EP05：優勝　|　获胜
EP05：マンボッ　|　曼波
EP05：さっきの子　|　刚刚那孩子
EP05：それは　|　这个
EP05：マラカスじゃない　|　根本不是沙锤
EP05：#兔角新田 与千年魔女交换的秘密
EP05：#同一个月亮
EP05：#还要！
EP05：#我想洗
EP05：#你说谎！
EP05：#你有话要说吧？
EP05：#仔细看看！
EP05：#不是
EP05：#手拿过来
EP05：#冬季换毛开始了
EP05：#产地直送 苹果
EP05：#好7
EP05：#散步
EP05：#苹果
EP05：#回家吧
EP05：#这里是重点
EP05：#去工作！
EP05：#快点！
EP05：#注：日本有在赏月时装饰芒草的习俗
EP05 OUT

EP06 IN
EP06：寝てる　|　睡着了
EP06：どした　|　怎么了
EP06：起きてる　|　醒了
EP06：双子の弟のテルだよ　|　这是我的双胞胎弟弟辉
EP06：目回すかな　|　会不会眼花啊
EP06：やめなさい　|　别玩了
EP06：結構軽いんだ　|　还挺轻的啊
EP06：おとなしいじゃん　|　好乖啊
EP06：いつもいい子だよ　|　它一直都很听话的
EP06：モフモフだな　こいつ　|　这家伙毛茸茸的
EP06：でしょ　|　对吧
EP06：風呂入れたことある　|　有给它洗过澡吗
EP06：あるよ　|　洗过
EP06：ぺちゃんこにならなかった　|　有没有变得扁扁的
EP06：そうでもなかったけど　|　好像是没有
EP06：混乱してる　|　脑袋混乱了吗
EP06：かむなよ　|　别咬我啊
EP06：悪いわね　|　真不好意思
EP06：棚の組み立てお願いしちゃって　|　麻烦你来帮我装柜子
EP06：いいよ　いいよ　|　没事的
EP06：元々俺が知り合いのメーカーからもらったやつだし　|　本来就是从我认识的厂家那里拿的
EP06：多分作るのちょっと面倒なやつだし　|　大概组装也很麻烦
EP06：設計の仕事って家具も作るの　|　你设计的工作还包括设计家具吗
EP06：いや　これはただの趣味　|　没有 只是个人兴趣
EP06：私今から買い物行ってくるけど　|　我要出去买点东西
EP06：オッケー　|　OK
EP06：どれくらいで戻る　|　大概多久回来
EP06：２時間はかかんないと思う　|　应该不到两个小时
EP06：家の鍵置いておくね　|　我把钥匙放这了
EP06：はいはい　|　好好
EP06：いってらっしゃーい　|　慢走
EP06：危ねえから　あっち行ってろよ　|　很危险的 一边玩去
EP06：やめろ　|　别这样
EP06：しょうがねえな　|　真拿你没办法
EP06：散歩でも行くか　|　去散步吧
EP06：リード見当たらないな　|　没看见有狗绳啊
EP06：見つかったか　|　找到了吗
EP06：それに入って散歩しても意味ねえだろ　|　把你装在里面还有散步的意义吗
EP06：あら　先生　ちょうどいいところに　|　医生 你来得正好
EP06：おや　どうされました　|　哦 怎么了
EP06：こちらの方のワンちゃんの犬種がどうしても出てこなくって　|　我怎么都想不起来这位先生的狗的品种
EP06：さてさて　|　让我看看
EP06：どんなワンちゃんかな　|　是什么样的小狗呢
EP06：君か　|　原来是你
EP06：あら　先生ご存じのワンちゃん　|　医生您认识吗
EP06：まあ　|　算是吧
EP06：この子何かに似てるなって　|　这孩子跟什么好像啊
EP06：ここまで出てるんですけど　|　就差一点就想起来了
EP06：ここまで　|　就差一点
EP06：えーっと　あなたはこの子の　|　那个 你是这孩子的
EP06：姉の犬なんですよ　|　这是我姐养的狗
EP06：雑種なんじゃないですかね　|　应该是什么混种吧
EP06：拾ったって言ってたし　|　因为她说是捡回来的
EP06：何かに似てるのよ　|　就是感觉很像别的什么
EP06：先生なら　わかりませんか　|　医生您肯定知道吧
EP06：犬というか　|　与其说是狗
EP06：たぬ…　|　狸…
EP06：犬ですね　|　这是狗哦
EP06：それは　わかってるのよ　|　这我当然知道啊
EP06：ハァーイ　|　小问题
EP06：散歩に行ったらさ　|　我们刚才散步时
EP06：動物病院の先生に会ったよ　|　碰见了宠物医院的医生
EP06：あら　先生ってよくわかったわね　|　真亏你能认出来医生啊
EP06：知らないおばちゃんが教えてくれた　|　一个不认识的婆婆告诉我的
EP06：いい人よねえ　あの先生　|　那个医生是个好人 对吧
EP06：ところで　こいつの犬種ってわかる　|　话说 你知道这只狗是什么品种吗
EP06：拾ったからわかんないわね　|　我捡来的 不知道
EP06：雑種じゃない　|　是混种狗吧
EP06：だよな　|　是吧
EP06：よし　できた　|　好 装好了
EP06：どこに置く　|　放在哪边
EP06：そっちの壁につけといて　|　贴着那边的墙吧
EP06：へい　|　好
EP06：ありがと　|　谢谢
EP06：のりたいのか　|　你想上去吗
EP06：怖いの　|　害怕了吗
EP06：コラ　|　喂
EP06：怖いんだな　|　真吓人吧
EP06：来た　|　来了
EP06：本当にありがとうね　|　真的很谢谢你
EP06：しばらく病院の関係で家に２人ともいない時間とか　|　最近我们两个人常常要去医院
EP06：急に空けちゃうことが増えるから　|　家里经常会没人
EP06：私の実家かホテルに預けようかと思ってたんだけど　|　想着把这家伙寄存到我老家或者酒店
EP06：テルが突然言いだして　|　辉却突然说要放你这里
EP06：悪いな　|　抱歉啊
EP06：ちゃんとお礼言って　|　好好跟人道谢
EP06：ありがとうございます　|　谢谢你
EP06：いいえー　|　没事
EP06：お義父さん　|　爸爸
EP06：ありがとうございます　|　谢谢你
EP06：ちゃんとお礼言って　|　好好道谢
EP06：ありがとうございます　|　谢谢你
EP06：じゃあ無理そうだったら　すぐ連絡してね　|　有处理不来的事 随时联系我
EP06：上がっていかないの　ワコちゃん　|　和子 你不进来坐坐吗
EP06：あんまり大勢でバタバタしないほうがいいと思って　|　咱这么多人还是不给你添麻烦了
EP06：そっか　|　是吗
EP06：お義父さん　|　爸爸
EP06：帰りに薬局寄ってもらっていいですか　|　回去的路上能顺便去一趟药店吗
EP06：すみません　|　拜托你了
EP06：も…もちろん　|　当然…可以
EP06：助かります　|　那太好了
EP06：とんでもない　|　举手之劳
EP06：こいつよろしくね　|　这家伙就拜托了
EP06：案外　あいつのほうがいじめられたりして　|　那家伙说不定还会被它欺负
EP06：仲良くしてね　|　好好相处哦
EP06：歓迎会？　|　欢迎会？
EP06：知らない場所だから　緊張してるのよ　|　它对这地方陌生 还在紧张吧
EP06：しばらく放っておいてあげましょ　|　先让它自己待会吧
EP06：おなかすいたの　|　你肚子饿了吗
EP06：みかんは好きじゃないみたいね　|　好像不喜欢橘子呢
EP06：ありがとう　|　谢谢你
EP06：仲良くしてくれて　|　愿意跟它好好相处
EP06：あの子にはあの子のペースがあるから　|　它也有它自己的节奏
EP06：ゆっくり仲良くなればいいよ　|　慢慢跟它熟起来就好
EP06：それとね　|　还有
EP06：猫は文字読めないからフリップは意味ないよ　|　猫不识字 给它看提示卡也没用
EP06：きっと君は特殊な訓練を受けているのね　|　你肯定接受过特殊的训练
EP06：落ち込まなくていいよ　|　不必失落
EP06：会って話して一緒に遊んでも　|　就算见了面 聊了天 还一起玩
EP06：仲良くなれないことだってあるんだから　|　也有可能熟不起来的
EP06：難しい　|　真难啊
EP06：私とってこと　|　是指我吗
EP06：いや　|　不是
EP06：いくらなんでも無理やり絡みすぎるから　|　不管怎么说你都太死缠烂打了
EP06：ゆっくり慣れていけばいいからね　|　你慢慢习惯就行
EP06：あらら　倒しちゃった　|　啊呀 推倒了吗
EP06：ちょっとおいでー　|　过来一下
EP06：おやつにしましょう　|　来吃零食吧
EP06：はい　これ　|　这个给你
EP06：チャレンジね　|　试试看
EP06：待って待って　そうじゃない　|　等下等下 你搞错了
EP06：いいなあ　|　真好啊
EP06：仲良くなれて　|　成为朋友了
EP06：ここだ　|　是这里
EP06：いらっしゃーい　|　你来了啊
EP06：こんにちは　ワコちゃん　|　上午好 和子
EP06：お邪魔します　|　打扰你们了
EP06：この間はありがとう　|　前段时间谢谢你了
EP06：こっちこそ　今日はいいの　|　别客气 今天没问题吗
EP06：大事な時期にお邪魔しちゃって　|　在这么关键的时候我还来做客
EP06：なんの　なんの　|　不会不会
EP06：もうすっかり安定期だから　|　已经是安定期了
EP06：これリクエストのブドウ　|　这是你要的葡萄
EP06：マスカットもある　ありがとう　|　还有麝香葡萄呢 太谢谢了
EP06：おす　|　你好
EP06：どうも　|　你好
EP06：道すぐにわかった　|　我们家位置还好找吧
EP06：うん　|　嗯
EP06：あれ　|　咦
EP06：俺ブドウあんまり好きじゃないって知らなかった　|　你不知道我不太喜欢葡萄吗
EP06：あんたにじゃないわよ　|　又不是给你的
EP06：私が頼んだの　|　是我要的
EP06：あら　|　哎呀
EP06：座布団取られてる　|　坐垫被抢走了
EP06：こんにちは　|　你好啊
EP06：覚えてくれてるみたい　|　它好像还记得我
EP06：あいつは連れてきたの　|　你带那家伙来了吗
EP06：うん　|　嗯
EP06：寝てた　|　睡着了
EP06：か…かわいい　|　好…好可爱
EP06：入り方が雑　|　装得好随便
EP06：弟の家だよ　|　是我弟弟家
EP06：こっちは覚えてるかな　|　不知道还记得它吗
EP06：どうかな　|　记不记得呢
EP06：俺仕事戻るから　|　我去上班了
EP06：はーい　|　好
EP06：あら　|　哎呀
EP06：仲良くなったんじゃなかったの　|　它们不是成为朋友了吗
EP06：もしかして見てるとやりにくいのかな　|　难道因为我们在看着所以放不开吗
EP06：そうだね　|　也是啊
EP06：そういえば今日は　|　说起来今天
EP06：あれを作るんでした　|　要做那个东西
EP06：縁側でやりましょうか　|　我们在廊边做吧
EP06：ちょっと寒いけど　|　虽然会有点冷
EP06：いいねえ　|　真美啊
EP06：ジャック・オー・ランタンかあ　|　南瓜灯啊
EP06：私初めて作る　|　我还是第一次做
EP06：あら　そうなんだ　|　哎呀 是吗
EP06：まあ　私たちの子供の頃ってそんなにメジャーじゃなかったしねえ　|　毕竟我们小时候还不是很流行这东西
EP06：そうそう　|　对对
EP06：ワコちゃんはよく作ってたの　|　和子你经常做吗
EP06：初めて　|　第一次做
EP06：頑張りましょう　|　加油吧
EP06：一応作り方調べたんだけど　|　查了一下做法
EP06：要は中身をくりぬいて　|　简单来说就是把里面掏空
EP06：あとはお好きにな感じだね　|　然后就自由发挥这样吧
EP06：何か決まりとかはないのかしら　伝統的な絵柄とか　|　没什么经典图案吗 传统花纹之类的
EP06：伝統　|　传统
EP06：初めてだし　やるからにはちゃんとやりたくて　|　因为是第一次 既然要做就想好好做
EP06：あるかもしれないけど　|　虽然可能是有的
EP06：初心者なんで　まあ好きに　|　但既然是新手就随意点吧
EP06：ねっ　|　怎么样
EP06：了解　|　了解
EP06：まずは上側を切り取って　|　首先把上面切下来
EP06：ああ　私がやるよ　|　让我来吧
EP06：これは　|　这是
EP06：無視されてるわね　|　被无视了呢
EP06：だって猫だもん　|　毕竟是猫嘛
EP06：まあ　喧嘩するよりは　|　起码比吵架要好吧
EP06：そうねえ　|　是啊
EP06：見て見て　|　快看快看
EP06：うちのおもちゃ箱あさり始めたよ　|　开始翻我家的玩具箱了
EP06：何か一緒に遊べるものでも探してるのかな　|　是在找能一起玩的玩具吗
EP06：ごめんなさいね　勝手に…　|　不好意思啊 它擅自就…
EP06：いえいえ　|　没事没事
EP06：どうするかな　|　它会怎么做呢
EP06：何か持って…　|　它找到了…
EP06：座布団？　|　坐垫？
EP06：眠いの　|　困了吗
EP06：座布団取られてる　|　坐垫被抢走了
EP06：フリーズしてる　|　呆住了
EP06：こっち見てる　|　在看这边
EP06：私　新しい座布団持ってこようか　|　我拿个新的坐垫过来吧
EP06：いや　|　不用
EP06：ほっといても大丈夫だよ　|　让他们自己玩去吧
EP06：私たちはもりもり彫りますか　|　我们就接着加油雕吧
EP06：楽しい　|　好开心
EP06：楽しいね　|　真开心呢
EP06：こういう細かい模様ってどうやるのかしら　|　这种细致的图案是怎么雕出来的呢
EP06：えーっと　|　我看看
EP06：これが皮を剥ぐためのナイフなので　|　这个是削皮用的刀
EP06：これで剥ぐみたいです　|　应该是用这个削出来的吧
EP06：怖っ　|　害怕
EP06：南瓜の香りがすごーい　|　南瓜的香味好浓
EP06：食べられるのかな　|　这能吃吗
EP06：こういう飾り用の南瓜は　あんまりおいしくないらしいよ　|　这种装饰用的南瓜 据说是不太好吃的哦
EP06：こういうの作るの好きだっけ　|　你喜欢这样做手工吗
EP06：実はそんなでもないかも　|　可能也没那么喜欢吧
EP06：なんか手を動かしてると気が紛れるじゃないですか　|　但是感觉手上有活 大脑就放空了
EP06：やっぱりいろいろ考えちゃう？　|　果然还是会忍不住乱想？
EP06：いやあ　|　这个嘛
EP06：ただ元気に生まれてきてさえくれれば　|　只要孩子能健康地生下来
EP06：何も言うことないんですけど　|　我也就没什么可抱怨的了
EP06：ちゃんと仕事に戻れるのかなあ　とか　|　能不能顺利回去工作之类的
EP06：いろんなことが変わっちゃうじゃないですか　多分　|　应该有很多事会改变吧 我觉得
EP06：不安よね　|　很不安吧
EP06：でも　|　不过
EP06：とっても楽しみ　|　也很期待
EP06：うん　|　嗯
EP06：やっぱりかなわないね　|　真是比不过你呢
EP06：どっちもかわいい　|　都好可爱
EP06：そろそろお茶にしましょう　|　差不多去喝茶吧
EP06：うん　|　嗯
EP06：#猫和南瓜
EP06：#狗
EP06：#零食!!
EP06：#散步 玩球 公园 拔河 追逐游戏 捉迷藏 沙坑 玩偶过家家
EP06：#诶？
EP06：#虽然很难
EP06：#还是想跟它成为朋友
EP06：#因为这样才成了朋友
EP06：#诶？
EP06：#我开动了
EP06：#这是哪？
EP06：#南瓜灯的做法
EP06：#来装点万圣节吧
EP06：#10月31号就是万圣节了！跟随教程轻松地制作南瓜灯，来享受万圣节吧
EP06：#什么是南瓜灯？ 挖空南瓜制作的南瓜灯是万圣节不可欠缺的装饰。作为除魔用物品装饰在家门口。
EP06：#需要准备的东西及做法 菜刀 勺子 马克笔
EP06 OUT

EP07 IN
EP07：もう　|　真是
EP07：何も思いつかない　|　一点思路都没有
EP07：小説なんて書くんじゃなかった　|　当初真不该写小说
EP07：ダメね　|　不行啊
EP07：こんな時は　|　这种时候要
EP07：さて　|　好了
EP07：下りてくれる　|　你能下来吗
EP07：体はほぐれるけど　何も思いつかない　|　身体是放松了 可还是没有思路
EP07：仕事中だけど　これはお仕事じゃ　|　我是在工作 但这不是
EP07：メモ帳　|　笔记本
EP07：ごめん　ごめん　|　抱歉 抱歉
EP07：このメモ帳に小説のタネになりそうなことを書いてるんだよ　|　这笔记本是我记小说灵感用的
EP07：何書いてたっけな　|　我都写了什么来着
EP07：シャーペンとチラシの裏じゃ書きづらいわよね　|　自动铅笔跟传单背面写起来不方便啊
EP07：買いに行かなきゃ　|　得去买新的了
EP07：こんにちは　|　你好
EP07：いらっしゃいませ　|　欢迎光临
EP07：ペンと紙を探してるんですが　|　我想买笔和纸
EP07：ご自宅用ですか　|　是您家庭自用吗
EP07：はい　|　是的
EP07：床で描いたり　手に持ったりもするので　|　平时会在地上写 有时也会拿起来
EP07：表紙のしっかりしたノートか何か　|　所以想要封皮的笔记本这类的
EP07：あと　ツルツルした手触りのペンをください　|　还有 请给我支光滑的钢笔
EP07：シリコンとかゴム製だとどうしても毛がくっついちゃうので　|　硅和橡胶的总是会粘上毛
EP07：なるほど　|　原来如此
EP07：床　毛　|　地板 毛
EP07：当店　デスクやチェアの取り扱いがありますが　|　我们店也有在卖桌椅
EP07：あと　近所に脱毛エステが　|　附近还有能脱毛的美容院
EP07：いえ　紙とペンでいいのですが　|　不用 我只想买纸和笔
EP07：わっかりました　|　好的
EP07：かわいい　|　好可爱
EP07：ここペットオッケーなので　うちの子とも遊んであげてくださいね　|　我们店可以带宠物 让它和我们家狗狗玩吧
EP07：それはともかく　|　先不说这个
EP07：ペンとノートこちらなんてどうでしょう　|　这种笔记本和笔怎么样
EP07：どう思う　|　怎么样
EP07：マルみたいね　|　好像是可以
EP07：かっわいい　|　好可爱
EP07：おすすめありがとうございます　|　谢谢你的推荐
EP07：普段あまり買わないので　|　平时我不怎么买
EP07：ああ　そうなんですね　|　啊 原来是这样啊
EP07：贈り物でしたら　無料のラッピングができますが　|　要送人的话 我们可以免费包装
EP07：ペット用なので　そのままで　|　这是给宠物用的 这样就行
EP07：そうなんですね　|　这样啊
EP07：ペット　|　宠物
EP07：ありがとうございました　|　多谢惠顾
EP07：ペット　|　宠物
EP07：どういうこと　|　怎么回事
EP07：よかったね　|　太好了
EP07：はい　|　给
EP07：今日も暑いから　あなたもお水飲んでね　|　今天很热 你也喝点水吧
EP07：飲まないの　|　不喝吗
EP07：具合でも悪いのかしら　|　是不是身体不舒服
EP07：お口　ああしてごらん　|　张嘴 啊一下看看
EP07：かわいいけども　帰してあげようね　|　虽然可爱 但还是放它回去吧
EP07：おやおや　|　哎呀呀
EP07：暇な小説家のようなお姉さんと　|　这不是很闲的小说家姐姐和
EP07：いっつもおなかをすかせていそうなワンちゃん　|　总是很饿的狗狗吗
EP07：そうだ　いい物をあげましょう　|　对了 给它点好东西吧
EP07：かわいいチーズ　|　可爱的奶酪
EP07：ワンちゃんにも安心　|　小狗也能放心吃
EP07：ヒヨコちゃんが　|　小鸡
EP07：逃げちゃった　|　逃走了
EP07：安心して　|　别担心
EP07：そこのアンニュイな顔したお姉さん　|　那个脸上满是倦怠的姐姐
EP07：お手をお借りしても　|　借你手一用
EP07：ええ　|　嗯
EP07：どうぞ　|　请用
EP07：こちらの手を開くと　|　把这只手打开后
EP07：ジャーン　|　锵
EP07：うまくいきましたね　|　成功了呢
EP07：ねっ　|　是的
EP07：希依ちゃん器用だね　|　小希依手真巧
EP07：手品は誰かに習ったの　|　你的魔术是跟人学的吗
EP07：はい　|　是的
EP07：学校で友達に習いました　|　我在学校跟朋友学的
EP07：あと　なぞなぞとかも流行ってます　|　还有 猜谜在我们之间也很流行
EP07：私手品は知らないけど　|　我不了解魔术
EP07：なぞなぞなら出せるよ　|　但我会出谜题
EP07：世界で一番だませないのはだれだ　|　世界上最不好骗的人是谁
EP07：一番だませない　|　最不好骗的人
EP07：なぞなぞの定石では　|　按照猜谜的规律
EP07：「だ　ま　せ」がないと解釈してこの３文字を抜いたもの　|　要解释成没有「好 骗 的」这三个字的东西
EP07：いや　この３文字が入っていない人名　|　不 是没有这三个字的人名
EP07：ちょっと難しかったかな　|　有点难
EP07：答えは自分よ　|　答案是自己
EP07：そ　それはなんか違う　|　感觉 有点不对劲
EP07：そう　|　是吗
EP07：ただいま　|　我回来了
EP07：今日はおやつ買ってきてないよ　|　今天我没有买零食回来
EP07：葉っぱがどうかした　|　叶子怎么了
EP07：あ…帽子ね　|　哦…你说帽子
EP07：最近かぶってなかったから　|　最近没怎么戴过
EP07：これ洗えないしな　|　这个洗不了
EP07：毛がなあ…　|　沾上毛…
EP07：あなたいつもオシャレさんじゃない　|　你不一直挺时髦的吗
EP07：葉っぱのせて　|　顶着片叶子
EP07：そうなの　|　是吗
EP07：それにほら　|　而且你看
EP07：あなたには大きいわよ　|　这帽子对你来说太大了
EP07：鏡で見てきたら　|　要去镜子前看看吗
EP07：にんじん食べる　|　吃胡萝卜吗
EP07：ありがとう　|　谢谢你
EP07：起こしてベッドに　|　把它弄醒搬到床上
EP07：運ぶまでもないか　|　好像没必要
EP07：これでいいかしら　|　这样就行了吧
EP07：あれ　|　咦
EP07：おいしかった　|　好吃吗
EP07：明日のおやつはないからね　|　明天没有零食了
EP07：これ小説に使えるのかなあ　|　这个能用在小说里吗
EP07：あげないよ　|　不会给你哦
EP07：おやつ食べる　|　要吃零食吗
EP07：確かに　|　确实
EP07：でも　|　但是
EP07：たまにはお行儀悪いのも楽しいよ　|　偶尔不在意举止会很开心
EP07：でしょ　|　是吧
EP07：重いからどいて　|　你太重了一边去
EP07：怒ってる　|　生气了
EP07：怒ってるわね　|　就是生气了
EP07：重いって言ってごめんね　|　抱歉刚才说你重了
EP07：いや重いわよ　|　可你就是重啊
EP07：ロボットでも怪獣でも　|　像是机器人啊怪兽啊
EP07：大きくて重いほうがかっこいいでしょ　|　又大又重的那种才帅吧
EP07：スイカとメロンも重いほうがいいじゃない　|　西瓜和蜜瓜也是重一点的更好吧
EP07：お芋だって　|　连红薯也是
EP07：重くて大きいほうが嬉しいでしょ　|　拿到又大又重的比较开心吧
EP07：ねっ　|　对吧
EP07：バレたか　|　暴露了吗
EP07：じゃあね　|　再见
EP07：バイバイ　|　拜拜
EP07：机の上は登っちゃダメよ　|　不可以爬到桌子上哦
EP07：大切な物も置いてるから　|　因为桌上放了重要的东西
EP07：何　|　怎么了
EP07：起こしてくれてありがとう　|　谢谢你叫我起床
EP07：ふぉおひへばあなふぁもはみがきしなひゃね　|　你也得刷刷牙了
EP07：ちょっと我慢してね　|　稍微忍着点
EP07：歯ブラシどうだったかしら　|　牙刷用着怎么样
EP07：苦手ならガムとかシートとかもあるけど　|　不喜欢的话也能换成口香糖或者清洁纱布
EP07：あらそう　|　是吗
EP07：はい　新しいおもちゃ買ってきたよ　|　看 我给你买了新玩具
EP07：はい　藤です　|　喂 我是藤
EP07：先生お疲れさまです　|　老师辛苦了
EP07：お疲れさまです　|　你也辛苦了
EP07：データ大丈夫でしたか　|　文件传过去了吧
EP07：はい　|　嗯
EP07：で　もう一つ…　|　不过还有一份…
EP07：そちらはこのあと送ります　|　我等下发给你
EP07：よろしくお願いします　|　拜托您了
EP07：気に入ったみたいね　|　看来还挺喜欢的
EP07：そういえば先生　ワンちゃん元気にしてますか　|　对了老师 您的狗狗还好吗
EP07：ええ　元気ですよ　|　嗯 它挺好的
EP07：うちも猫がいるんですけど　|　我家也养了猫
EP07：自分がこんなに猫好きになるとは思ってもみなくて　|　我都没想到自己居然会这么喜欢猫
EP07：飼ってみないとわからないですよね　|　不养养看的话确实没法知道
EP07：ですね　|　就是说啊
EP07：つい甘やかしちゃうんですよね　|　总是不知不觉就惯着它
EP07：先生もやっぱり　かわいくてたまらないですか　|　老师你也是吧 觉得它可爱得不行吧
EP07：ええ　|　是啊
EP07：いや　かわいくないですね　|　不 它一点也不可爱
EP07：先生　|　老师
EP07：またまた　|　你又开玩笑
EP07：ちょっと出かけてくるね　|　我出去一下
EP07：寂しい　|　会寂寞吗
EP07：ドライ　|　真冷漠
EP07：意外と猫っぽいところもあるのね　|　没想到它有时候还挺像猫的
EP07：犬みたいな猫もいるっていうしね　|　毕竟也有些猫很像狗
EP07：意外と一人が好きだったり　|　或许它其实喜欢一个人呢
EP07：出かけるの　やっぱいっか　|　果然还是不出去了
EP07：寂しかったのね　|　寂寞了吧
EP07：こんにちは　|　你好
EP07：お外でおにぎりですか　|　在外面吃饭团吗
EP07：素敵ですね　|　好棒啊
EP07：うん　|　嗯
EP07：具なしの塩むすび　|　这是没馅的盐饭团
EP07：おいしいですか　それ　|　会好吃吗 这个
EP07：忙しい日が続くとね　|　要是连着几天都很忙
EP07：何もしたくなくなるの　|　人就会什么都不想干
EP07：なんにも　|　什么都不想
EP07：そこでこの塩むすびなの　|　然后就轮到这盐饭团出场了
EP07：ご飯にあらかじめ塩を混ぜ込んで握ると　|　预先在饭里加上盐然后捏成团
EP07：冷めたらおいしいおにぎりになるの　|　冷了以后就变成了好吃的饭团
EP07：そうなんですね　|　这样啊
EP07：そう　|　嗯
EP07：コツは塩を多めにして必ずコシヒカリを使うこと　|　诀窍就是多放点盐 还有一定要用越光米
EP07：お姉さん　疲れてますね　|　姐姐 你一定很累吧
EP07：うん　|　嗯
EP07：今日は早く家に帰って　|　今天就早点回家
EP07：仕事を終わらせて　|　早点结束工作
EP07：休んだほうがいいです　|　然后好好休息吧
EP07：うん　|　嗯
EP07：そのとおりです　|　你说得对
EP07：一緒に帰りましょう　|　我们一起回去吧
EP07：お願いします　|　拿一个吧
EP07：よろしくお願いします　|　麻烦拿一个吧
EP07：よろしくお願いします　|　麻烦拿一个吧
EP07：ありがとうございます　|　非常感谢
EP07：ラスト１個　|　最后一个
EP07：でも　これが長引いたりするのよね　|　不过最后一个总是最难发了啊
EP07：よろしくお願いしま…　|　麻烦拿一个…
EP07：何が　|　什么东西
EP07：犬？　|　狗？
EP07：いや　なんだありゃ　|　不对 啥啊那是
EP07：変わったぬいぐるみかな？　|　奇怪的玩偶之类的？
EP07：ウソだろ　|　不是吧
EP07：帰るか　|　收工吧
EP07：目ざといのね　|　你眼睛真尖啊
EP07：あれ　|　咦
EP07：結局メモはなんの役にも立たない　|　结果笔记一点用场也没派上
EP07：なんでもない日じゃあ　|　没什么特别的日子
EP07：なんのドラマにもならないか　|　也没什么可以戏剧化的东西啊
EP07：なんでもない　|　没什么特别的
EP07：何してるの　|　你在干什么
EP07：なんでもない　|　没干什么
EP07：なんでもないか　|　没干什么吗
EP07：ねえ　りんごといちごどっちがいい　|　喂 你想吃苹果还是草莓
EP07：そんなに悩む　|　这么难选吗
EP07：別に　|　也不是
EP07：なんでもない日だけど　|　只是个没什么特别的日子
EP07：同じ日はないのよ　|　没有哪天是一样的
EP07：なんでもない日なんてあるんだろうか　|　真的有平平无奇的日子吗
EP07：やっぱり書けないや　|　果然还是写不出来
EP07：寝よっと　|　睡觉吧
EP07：#你在工作吗？
EP07：#没什么
EP07：#写不了
EP07：#有点恶心
EP07：#超级好xie！
EP07：#七星瓢虫
EP07：#一起睡
EP07：#不？ 好？ 骗？ 的？
EP07：#我想戴
EP07：#没这回事
EP07：#很可爱！
EP07：#又软又容易吃汪 鸡胸肉干 鸡肉100%
EP07：#举止不端
EP07：#对吧
EP07：#地瓜干 对吧
EP07：#这也太爽了吧…？
EP07：#我才没生气
EP07：#快说我轻
EP07：#根本不是一回事
EP07：#醒来 时间已过了午后两点
EP07：#我棒吗？
EP07：#要上瘾了
EP07：#桥上（编辑）
EP07：#不小心的
EP07：#好快！
EP07：#昆布 鳕鱼子 鲣鱼干 梅干 鲑鱼
EP07：#想要
EP07：#纸巾
EP07：#谢谢
EP07：#隐形眼镜盒
EP07：#没干什么呀
EP07：#今天是什么好日子吗？
EP07：#希望明天也和今天一样
EP07 OUT

EP08 IN
EP08：今年もカモが来てるね　|　今年鸭子也来了呢
EP08：毎年来るんですか　|　每年都会来吗
EP08：うん　|　嗯
EP08：かわいい　|　好可爱
EP08：かっこいい　|　好帅气
EP08：刺さってる　刺さってる　|　头扎下去了 扎下去了
EP08：何食べてるんだろう　|　在吃什么呢
EP08：こっちも　|　这边也是
EP08：ちょっと　|　喂
